"Lead Agency","Scientific Name","Common Name","Current
ESA Listing Status  ","Initial Listing Date","Group"
"FWS","Mitracarpus polycladus","No common name","Endangered","1994/09/09","<div>Flowering Plants</div>"
"FWS","Myrcia paganii","No common name","Endangered","1994/02/18","<div>Flowering Plants</div>"
"FWS","Neraudia sericea","No common name","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Nothocestrum breviflorum","`Aiea","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Nothocestrum peltatum","`Aiea","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Ochrosia kilaueaensis","Holei","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Oxytheca parishii var. goodmaniana","Oxytheca, cushenbury","Endangered","1994/08/24","<div>Flowering Plants</div>"
"FWS","Peucedanum sandwicense","Makou","Threatened","1994/02/25","<div>Flowering Plants</div>"
"FWS","Phyllostegia waimeae","No common name","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Plantago hawaiensis","Kuahiwi laukahi","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Plantago princeps","Kuahiwi laukahi","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Pleodendron macranthum","Chupacallos","Endangered","1994/11/25","<div>Flowering Plants</div>"
"FWS","Poa mannii","Bluegrass, Mann's","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Polyscias gymnocarpa","`Ohe`ohe","Endangered","1994/03/28","<div>Flowering Plants</div>"
"FWS","Polyscias racemosa","No common name","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Portulaca sclerocarpa","Po`e","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Pritchardia maideniana","Lo`ulu","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Pteralyxia kauaiensis","Kaulu","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Schiedea spergulina var. leiopoda","No common name","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Schiedea spergulina var. spergulina","No common name","Threatened","1994/02/25","<div>Flowering Plants</div>"
"FWS","Sesbania tomentosa","Ohai","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Silene hawaiiensis","No common name","Threatened","1994/03/04","<div>Flowering Plants</div>"
"FWS","Solanum incompletum","Popolo ku mai","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Solanum sandwicense","`Aiakeakua, popolo","Endangered","1994/02/25","<div>Flowering Plants</div>"
